data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-12h,10,13747.95538723534,37.479553872353414
BTCUSDT-2017-2020-12h,11,13937.049254969177,39.37049254969177
BTCUSDT-2017-2020-12h,12,14021.212943566214,40.212129435662135
BTCUSDT-2017-2020-12h,13,14773.328452425321,47.733284524253214
BTCUSDT-2017-2020-12h,14,14769.728835848084,47.69728835848084
BTCUSDT-2017-2020-12h,15,14812.219393864358,48.122193938643576
BTCUSDT-2017-2020-12h,16,14538.12073462093,45.3812073462093
BTCUSDT-2017-2020-12h,17,14339.01693188151,43.3901693188151
BTCUSDT-2017-2020-12h,18,14143.384460466154,41.43384460466154
BTCUSDT-2017-2020-12h,19,14195.943044209009,41.95943044209009
BTCUSDT-2017-2020-12h,20,14369.922239825939,43.699222398259394
BTCUSDT-2017-2020-12h,21,14325.643469759176,43.25643469759176
BTCUSDT-2017-2020-12h,22,14611.945802248694,46.119458022486945
BTCUSDT-2017-2020-12h,23,14291.349592709908,42.913495927099085
BTCUSDT-2017-2020-12h,24,14484.740291060709,44.84740291060709
BTCUSDT-2017-2020-12h,25,14278.589920353646,42.78589920353647
BTCUSDT-2017-2020-12h,26,14047.267423803645,40.472674238036454
BTCUSDT-2017-2020-12h,27,14213.221764991064,42.132217649910636
BTCUSDT-2017-2020-12h,28,14265.95291082712,42.6595291082712
BTCUSDT-2017-2020-12h,29,14275.150887300333,42.75150887300333
BTCUSDT-2017-2020-12h,30,14331.132613880693,43.311326138806926
